Tiempo,Heun,RungeKutta4
0.0,1.0,1.0
1.0,1.6202207178251478,1.6383679741992885
2.0,2.534670572091363,2.5828895889501764
3.0,3.8227633415065356,3.9139028018234385
4.0,5.553533507761949,5.698808141863207
5.0,7.770554297220556,7.976855934262214
6.0,10.478892500446273,10.746940695126144
7.0,13.638465925598132,13.962476102106212
8.0,17.166380619695996,17.535281956692838
9.0,20.947780729695104,21.347413447072203
10.0,24.85197543408522,25.267460849759512
11.0,28.74939461516503,29.167034152901174
12.0,32.52552842168362,32.93394693788644
13.0,36.089734159684134,36.480305814645746
14.0,39.37865242164979,39.74541718700688
15.0,42.3552686895198,42.69457267423517
16.0,45.00519145571978,45.31523010209412
17.0,47.33165661239524,47.61202753520706
18.0,49.350395320768214,49.60170973843128
19.0,51.08505942081423,51.30862575957623
20.0,52.5635231793737,52.761099215006375
21.0,53.815121347508224,53.988725035776234
22.0,54.86873547316535,55.02050374078812
23.0,55.751575344999466,55.88366123159327
24.0,56.48848985079424,56.60298994880332
25.0,57.10165696269271,57.20056253621898
26.0,57.61052951892959,57.69569587774248
27.0,58.031942301606286,58.10507199369843
28.0,58.380311793734066,58.44294801000638
29.0,58.66788111436606,58.72140840850596
30.0,58.904978795526276,58.95062883015638
